Time,Temp,RH,Dew,PRC,CC,DHI,WS,WD,WSG,DNI
2022-03-21T00:00,5,91,3.7,1,83,0,10,26,18,0
2022-03-21T01:00,5.1,91,3.8,0.7,74,0,10.2,23,19.8,0
2022-03-21T02:00,5.1,91,3.8,0.7,49,0,10.7,20,20.2,0
2022-03-21T03:00,4.9,92,3.7,0.1,18,0,10.5,16,18,0
2022-03-21T04:00,4.7,92,3.5,0,28,0,10.8,21,19.4,0
2022-03-21T05:00,4.8,91,3.5,0,52,0,11.5,32,21.6,0
2022-03-21T06:00,4.9,91,3.5,0,100,0,12.4,30,24.5,0
2022-03-21T07:00,5.3,90,3.8,0,100,19,16.1,20,28.1,0
2022-03-21T08:00,6.3,88,4.4,0,100,62,14.9,15,27,30.7
2022-03-21T09:00,7,86,4.8,0.9,100,91,13.1,9,29.2,29
2022-03-21T10:00,7.2,86,4.9,0.5,100,77,15.7,20,34.2,9.3
2022-03-21T11:00,7.2,87,5.2,1.5,100,77,17.2,16,31.3,0.7
2022-03-21T12:00,7.1,87,5.1,2,100,39,19.5,16,32.4,0.6
2022-03-21T13:00,6.9,86,4.7,2.2,100,46,20.7,17,38.9,0
2022-03-21T14:00,6.5,87,4.4,1.9,100,51,18.9,24,40.3,0
2022-03-21T15:00,6,88,4.1,2.4,100,31,19.8,37,37.1,0
2022-03-21T16:00,5.6,88,3.7,3.3,100,17,21.8,34,39.2,0
2022-03-21T17:00,5.1,89,3.4,4.1,100,8,21.6,30,40,0
2022-03-21T18:00,4.7,91,3.3,3.7,100,5,21.7,27,38.2,0
2022-03-21T19:00,4.6,92,3.4,2.3,100,0,17.9,22,34.6,0
2022-03-21T20:00,4.7,92,3.5,0.9,100,0,13.6,37,30.6,0
2022-03-21T21:00,4.8,92,3.6,0.8,100,0,13.9,59,32,0
2022-03-21T22:00,4.8,92,3.7,0.2,100,0,11.3,59,30.6,0
2022-03-21T23:00,4.9,91,3.6,0,70,0,11.2,50,27.4,0
2022-03-22T00:00,4.7,91,3.4,0,84,0,10.6,72,24.1,0
2022-03-22T01:00,4.7,92,3.4,0,98,0,10,77,24.5,0
2022-03-22T02:00,4.8,91,3.5,0,94,0,12.5,78,24.1,0
2022-03-22T03:00,4.7,91,3.4,0,56,0,11.6,64,20.9,0
2022-03-22T04:00,4.7,91,3.3,0,34,0,12.2,71,22.3,0
2022-03-22T05:00,4.7,91,3.3,0,31,0,13.2,68,24.1,0
2022-03-22T06:00,4.5,91,3.2,0,31,0,12.6,66,22.7,0
2022-03-22T07:00,4.9,91,3.6,0,28,27,14.2,63,25.2,0
2022-03-22T08:00,6.4,86,4.3,0,30,129,14.6,52,27.4,99.5
2022-03-22T09:00,7.9,77,4,0,35,240,15.9,39,34.6,136.8
2022-03-22T10:00,9,68,3.4,0,32,302,14.9,37,33.5,109.6
2022-03-22T11:00,9.9,62,3.1,0,31,328,16.6,34,37.1,122.2
2022-03-22T12:00,10.9,57,2.6,0,30,421,16.8,31,40.3,146.6
2022-03-22T13:00,11.6,52,2.1,0,31,427,16.8,28,37.4,186.2
2022-03-22T14:00,11.7,51,1.8,0,29,377,15.2,22,32.8,187.1
2022-03-22T15:00,12,49,1.6,0,30,272,14.7,25,31,303.6
2022-03-22T16:00,11.2,50,1.2,0,30,208,15,30,28.1,286.9
2022-03-22T17:00,10.2,56,1.8,0,50,110,12.6,24,22.7,87.8
2022-03-22T18:00,9.2,59,1.6,0,90,37,8.3,18,17.3,43.3
2022-03-22T19:00,8.5,62,1.7,0,90,0,7.9,30,13.3,1.1
2022-03-22T20:00,8,67,2.2,0,90,0,5.6,50,11.2,0
2022-03-22T21:00,7.4,72,2.6,0,89,0,6.5,56,11.2,0
2022-03-22T22:00,7,75,2.9,0,88,0,5.6,63,11.9,0
2022-03-22T23:00,6.7,78,3.1,0,89,0,4.7,81,11.2,0
2022-03-23T00:00,6.5,80,3.3,0,84,0,3,76,7.2,0
2022-03-23T01:00,6.2,85,3.9,0,86,0,3.1,21,5,0
2022-03-23T02:00,5.9,89,4.2,0,82,0,3.6,360,4.7,0
2022-03-23T03:00,5.6,92,4.4,0,83,0,3.7,349,3.6,0
2022-03-23T04:00,5.2,91,3.9,0,69,0,3.2,117,4,0
2022-03-23T05:00,5.1,93,4.1,0,0,0,2.9,360,3.2,0
2022-03-23T06:00,3.7,95,3,0,1,0,3.9,236,5.8,0
2022-03-23T07:00,3.8,97,3.3,0,0,28,6.1,242,13,0
2022-03-23T08:00,7.6,71,2.7,0,0,80,5.4,270,16.9,393.5
2022-03-23T09:00,9.1,59,1.6,0,0,110,5.9,259,18.7,612.2
2022-03-23T10:00,10.6,55,1.8,0,0,131,7.1,204,18.7,741.5
2022-03-23T11:00,11.9,52,2.3,0,3,143,6.4,196,20.5,810.8
2022-03-23T12:00,12.8,51,2.9,0,1,149,6.6,202,20.2,844.9
2022-03-23T13:00,13.5,51,3.6,0,0,155,6.1,208,18,851.2
2022-03-23T14:00,14,51,4.1,0,1,146,5.9,227,15.5,839.6
2022-03-23T15:00,14.8,50,4.5,0,16,144,8.7,228,22,808.1
2022-03-23T16:00,14.6,50,4.4,0,5,197,9.5,217,20.2,580.2
2022-03-23T17:00,14.1,54,4.8,0,49,140,8.2,229,13.3,222.4
2022-03-23T18:00,12.7,61,5.4,0,10,42,6,253,10.1,189.8
2022-03-23T19:00,10.8,69,5.2,0,2,1,7.3,259,11.5,11.6
2022-03-23T20:00,9.5,74,5.1,0,0,0,9.4,263,13.3,0
2022-03-23T21:00,8.6,78,5,0,0,0,11,259,17.3,0
2022-03-23T22:00,8.1,80,4.9,0,0,0,11,259,19.1,0
2022-03-23T23:00,7.7,82,4.7,0,0,0,11,259,18.7,0
2022-03-24T00:00,7.1,83,4.5,0,0,0,10.5,262,17.3,0
2022-03-24T01:00,6.6,84,4.1,0,0,0,9,268,15.1,0
2022-03-24T02:00,6,85,3.6,0,0,0,8,275,13.3,0
2022-03-24T03:00,5.4,87,3.4,0,0,0,9,286,15.5,0
2022-03-24T04:00,5.1,87,3.1,0,0,0,8.8,289,15.1,0
2022-03-24T05:00,4.7,88,3,0,0,0,7.9,300,13.3,0
2022-03-24T06:00,4.4,90,3,0,0,0,9.5,299,15.1,0
2022-03-24T07:00,5.5,90,3.9,0,0,29,12.7,299,20.9,0
2022-03-24T08:00,8.7,81,5.7,0,0,82,13.6,292,25.6,404.6
2022-03-24T09:00,11.5,74,7,0,0,113,16.3,284,31.3,614.2
2022-03-24T10:00,13.6,68,7.8,0,0,132,19.7,285,37.1,739.5
2022-03-24T11:00,15.3,64,8.5,0,5,144,21.5,284,40.7,806.7
2022-03-24T12:00,16.6,60,8.9,0,1,151,20.1,285,42.1,840.5
2022-03-24T13:00,17.6,57,9,0,3,151,19.5,289,43.6,850.3
2022-03-24T14:00,18.2,54,8.6,0,1,145,20.4,296,45,842.2
2022-03-24T15:00,18.2,54,8.7,0,4,136,21.5,301,41.8,810.2
2022-03-24T16:00,18,53,8.3,0,17,115,21.4,303,40.3,754.6
2022-03-24T17:00,17.1,58,8.8,0,26,100,17.9,308,32.8,623.1
2022-03-24T18:00,15.5,62,8.3,0,27,48,14.3,321,30.6,385.8
2022-03-24T19:00,14,68,8.1,0,24,1,18.4,325,32.8,11.6
2022-03-24T20:00,12.9,73,8.2,0,28,0,20.9,318,36,0
2022-03-24T21:00,12.2,77,8.3,0,30,0,20.9,311,36.7,0
2022-03-24T22:00,12,78,8.3,0,30,0,22,308,37.4,0
2022-03-24T23:00,12.2,78,8.6,0,30,0,20.9,299,37.1,0
2022-03-25T00:00,12.5,78,8.8,0,32,0,21.1,295,38.5,0
2022-03-25T01:00,12.8,78,9.1,0,34,0,21.1,295,37.8,0
2022-03-25T02:00,13.1,78,9.4,0,58,0,20.8,296,37.8,0
2022-03-25T03:00,12.8,85,10.4,0.8,89,0,19.9,292,36.4,0
2022-03-25T04:00,12.9,87,10.9,2.5,89,0,21.3,294,38.2,0
2022-03-25T05:00,13.2,87,11.2,3.3,90,0,22.9,294,41,0
2022-03-25T06:00,13.6,88,11.6,3,92,0,20.9,314,43.2,0
2022-03-25T07:00,14,89,12.2,3,97,6,22.6,304,43.6,0
2022-03-25T08:00,14.5,89,12.8,1.9,95,26,23.4,295,41.4,0
2022-03-25T09:00,15.1,90,13.6,2.3,100,34,26.5,285,45,0
2022-03-25T10:00,15.8,91,14.4,3.5,100,86,28.9,281,51.5,0
2022-03-25T11:00,16,92,14.7,1.6,100,56,27.9,277,48.6,0
2022-03-25T12:00,16.3,93,15.1,2,100,84,25.6,270,42.8,0
2022-03-25T13:00,16.2,94,15.2,1.4,100,33,21.4,257,41,0
2022-03-25T14:00,16.3,94,15.3,1.2,100,56,18.4,242,32.8,0
2022-03-25T15:00,16.5,93,15.4,0.4,100,52,17.6,227,31.7,0
2022-03-25T16:00,16.3,93,15.1,0.1,100,30,17.8,212,32.4,0
2022-03-25T17:00,15.9,94,14.9,0,100,19,17.4,198,32.4,0
2022-03-25T18:00,15.5,94,14.6,0,100,15,16.9,182,31.3,0
2022-03-25T19:00,14.8,95,13.9,0,100,0,17.7,174,32.4,0
2022-03-25T20:00,14.1,95,13.2,0,100,0,19.3,166,33.5,0
2022-03-25T21:00,13.4,94,12.5,0,100,0,18.8,163,32.8,0
2022-03-25T22:00,12.8,94,11.9,0,100,0,18,164,32.8,0
2022-03-25T23:00,12.3,93,11.2,0,100,0,19.1,158,33.8,0
2022-03-26T00:00,11.9,92,10.7,0,100,0,19.5,150,34.2,0
2022-03-26T01:00,11.7,91,10.3,0,100,0,19.8,143,34.6,0
2022-03-26T02:00,11.6,89,9.8,0,100,0,20.7,140,34.2,0
2022-03-26T03:00,10.9,88,9,0,89,0,21.1,137,39.2,0
2022-03-26T04:00,10.5,87,8.5,0,27,0,20.9,135,38.5,0
2022-03-26T05:00,9.7,88,7.8,0,43,0,18.6,131,34.6,0
2022-03-26T06:00,9.3,88,7.4,0,19,0,18.7,130,31.3,0
2022-03-26T07:00,9.5,88,7.5,0,11,31,15.8,125,29.2,0
2022-03-26T08:00,10.5,81,7.3,0,3,90,15.6,130,35.6,325.5
2022-03-26T09:00,11.8,71,6.7,0,15,128,16.9,124,37.1,551
2022-03-26T10:00,13.2,61,5.8,0,22,174,17.7,119,37.1,656.5
2022-03-26T11:00,14.3,54,5,0,20,252,16.2,107,36.4,642.8
2022-03-26T12:00,15.1,49,4.5,0,30,326,16.8,105,35.3,537.9
2022-03-26T13:00,15.8,46,4.2,0,30,354,16.2,107,33.5,464.8
2022-03-26T14:00,16,44,3.9,0,30,368,14.8,108,31.3,387
2022-03-26T15:00,16.2,40,2.6,0,50,316,14.1,103,28.8,325.8
2022-03-26T16:00,16,40,2.3,0,67,243,12.4,98,23.4,301.2
2022-03-26T17:00,15.5,47,4.1,0,76,150,7.2,108,12.6,219
2022-03-26T18:00,14.3,53,4.8,0,68,58,7.7,143,9.4,119.9
2022-03-26T19:00,12.8,59,4.9,0,80,1,6.2,126,9.7,3.7
2022-03-26T20:00,11.7,65,5.2,0,89,0,8.1,135,10.1,0
2022-03-26T21:00,10.9,69,5.4,0,90,0,6.2,187,9.4,0
2022-03-26T22:00,10.5,71,5.4,0,89,0,5.4,184,8.6,0
2022-03-26T23:00,10.2,71,5.2,0,83,0,6.3,167,11.2,0
2022-03-27T00:00,10,71,4.9,0,80,0,6.2,170,13,0
2022-03-27T01:00,9.9,70,4.6,0,86,0,6.7,164,13.7,0
2022-03-27T02:00,9.8,69,4.3,0,87,0,6.2,170,12.6,0
2022-03-27T03:00,9.3,75,5.1,0,90,0,7.2,180,9,0
2022-03-27T04:00,9,76,5,0,90,0,6.3,204,9.7,0
2022-03-27T05:00,8.8,76,4.8,0,89,0,6.7,216,11.5,0
2022-03-27T06:00,8.7,77,5,0,85,0,6.5,214,11.9,0
2022-03-27T07:00,9.4,80,6,0,38,39,8.2,203,14,0
2022-03-27T08:00,11.7,72,6.8,0,32,141,8,198,16.9,36.8
2022-03-27T09:00,13.9,65,7.4,0,30,243,8.4,170,20.5,126.5
2022-03-27T10:00,15.1,61,7.6,0,30,308,11.2,135,26.6,190.5
2022-03-27T11:00,15.6,58,7.4,0,31,355,15.1,93,31.7,245.6
2022-03-27T12:00,16.1,56,7.4,0,34,398,18.3,74,34.9,331
2022-03-27T13:00,16.2,53,6.7,0,34,388,21.1,67,38.5,340
2022-03-27T14:00,15.6,52,5.7,0,34,358,22.2,63,42.1,321.6
2022-03-27T15:00,14.4,47,3.1,0,40,348,21.5,59,42.5,238.7
2022-03-27T16:00,13.2,48,2.3,0,47,256,20,52,38.9,175
2022-03-27T17:00,12,51,2.1,0,59,159,17.3,45,31.7,139.2
2022-03-27T18:00,10.6,52,1.3,0,55,57,13,42,28.4,58.1
2022-03-27T19:00,9.3,54,0.5,0,57,2,13.3,41,25.9,1.3
2022-03-27T20:00,8.2,57,0.2,0,21,0,11.6,36,22,0
2022-03-27T21:00,7.5,59,0,0,11,0,9.4,32,21.6,0
2022-03-27T22:00,6.7,62,-0.1,0,20,0,9.9,33,20.5,0
2022-03-27T23:00,6.1,64,-0.3,0,40,0,10.9,27,19.4,0
2022-03-28T00:00,6.1,62,-0.6,0,46,0,10.9,17,20.2,0
2022-03-28T01:00,5.9,61,-1.1,0,59,0,11.1,13,20.5,0
2022-03-28T02:00,5.7,60,-1.5,0,75,0,11,11,19.4,0
2022-03-28T03:00,5.8,69,0.5,0,74,0,10.2,10,18,0
2022-03-28T04:00,5.9,68,0.4,0,80,0,10.2,8,18,0
2022-03-28T05:00,5.6,68,0.2,0,76,0,10.2,10,17.6,0
